hour,mode,elo_decile,arrival_count,poisson_lambda
0,2v2,1,6816,6816.0
0,2v2,2,7058,7058.0
0,2v2,3,7506,7506.0
0,2v2,4,8242,8242.0
0,2v2,5,8014,8014.0
0,2v2,6,7956,7956.0
0,2v2,7,9610,9610.0
0,2v2,8,1337,1337.0
0,2v2,9,8304,8304.0
0,2v2,10,7409,7409.0
0,3v3,1,10850,10850.0
0,3v3,2,10441,10441.0
0,3v3,3,10307,10307.0
0,3v3,4,10300,10300.0
0,3v3,5,9844,9844.0
0,3v3,6,9787,9787.0
0,3v3,7,16195,16195.0
0,3v3,8,1634,1634.0
0,3v3,9,9830,9830.0
0,3v3,10,9842,9842.0
0,4v4,1,24380,24380.0
0,4v4,2,26242,26242.0
0,4v4,3,25289,25289.0
0,4v4,4,26507,26507.0
0,4v4,5,26317,26317.0
0,4v4,6,25800,25800.0
0,4v4,7,45813,45813.0
0,4v4,8,4275,4275.0
0,4v4,9,26288,26288.0
0,4v4,10,24761,24761.0
1,2v2,1,7054,7054.0
1,2v2,2,6973,6973.0
1,2v2,3,7493,7493.0
1,2v2,4,8087,8087.0
1,2v2,5,8022,8022.0
1,2v2,6,7836,7836.0
1,2v2,7,9548,9548.0
1,2v2,8,1269,1269.0
1,2v2,9,7750,7750.0
1,2v2,10,7256,7256.0
1,3v3,1,11325,11325.0
1,3v3,2,10797,10797.0
1,3v3,3,10498,10498.0
1,3v3,4,10474,10474.0
1,3v3,5,10086,10086.0
1,3v3,6,9855,9855.0
1,3v3,7,16198,16198.0
1,3v3,8,1610,1610.0
1,3v3,9,9708,9708.0
1,3v3,10,9757,9757.0
1,4v4,1,26963,26963.0
1,4v4,2,28476,28476.0
1,4v4,3,27087,27087.0
1,4v4,4,28849,28849.0
1,4v4,5,28397,28397.0
1,4v4,6,27586,27586.0
1,4v4,7,47769,47769.0
1,4v4,8,4434,4434.0
1,4v4,9,26436,26436.0
1,4v4,10,25619,25619.0
2,2v2,1,7581,7581.0
2,2v2,2,7410,7410.0
2,2v2,3,7908,7908.0
2,2v2,4,8275,8275.0
2,2v2,5,8329,8329.0
2,2v2,6,8019,8019.0
2,2v2,7,9654,9654.0
2,2v2,8,1225,1225.0
2,2v2,9,8028,8028.0
2,2v2,10,7359,7359.0
2,3v3,1,13041,13041.0
2,3v3,2,12277,12277.0
2,3v3,3,11658,11658.0
2,3v3,4,11529,11529.0
2,3v3,5,11180,11180.0
2,3v3,6,10797,10797.0
2,3v3,7,17612,17612.0
2,3v3,8,1732,1732.0
2,3v3,9,10701,10701.0
2,3v3,10,10569,10569.0
2,4v4,1,32232,32232.0
2,4v4,2,33208,33208.0
2,4v4,3,31484,31484.0
2,4v4,4,33252,33252.0
2,4v4,5,31723,31723.0
2,4v4,6,31422,31422.0
2,4v4,7,54391,54391.0
2,4v4,8,5022,5022.0
2,4v4,9,28801,28801.0
2,4v4,10,27633,27633.0
3,2v2,1,6680,6680.0
3,2v2,2,6832,6832.0
3,2v2,3,6930,6930.0
3,2v2,4,7636,7636.0
3,2v2,5,7306,7306.0
3,2v2,6,6946,6946.0
3,2v2,7,9177,9177.0
3,2v2,8,1112,1112.0
3,2v2,9,7392,7392.0
3,2v2,10,6721,6721.0
3,3v3,1,12388,12388.0
3,3v3,2,11277,11277.0
3,3v3,3,10764,10764.0
3,3v3,4,11132,11132.0
3,3v3,5,10231,10231.0
3,3v3,6,9893,9893.0
3,3v3,7,17075,17075.0
3,3v3,8,1509,1509.0
3,3v3,9,10120,10120.0
3,3v3,10,9693,9693.0
3,4v4,1,31546,31546.0
3,4v4,2,31955,31955.0
3,4v4,3,30814,30814.0
3,4v4,4,31608,31608.0
3,4v4,5,30311,30311.0
3,4v4,6,30767,30767.0
3,4v4,7,52324,52324.0
3,4v4,8,4680,4680.0
3,4v4,9,28593,28593.0
3,4v4,10,26890,26890.0
4,2v2,1,5804,5804.0
4,2v2,2,5743,5743.0
4,2v2,3,5663,5663.0
4,2v2,4,6270,6270.0
4,2v2,5,5958,5958.0
4,2v2,6,5455,5455.0
4,2v2,7,7422,7422.0
4,2v2,8,819,819.0
4,2v2,9,6124,6124.0
4,2v2,10,5318,5318.0
4,3v3,1,10335,10335.0
4,3v3,2,9675,9675.0
4,3v3,3,9216,9216.0
4,3v3,4,9388,9388.0
4,3v3,5,8562,8562.0
4,3v3,6,8114,8114.0
4,3v3,7,15152,15152.0
4,3v3,8,1257,1257.0
4,3v3,9,8275,8275.0
4,3v3,10,7914,7914.0
4,4v4,1,27626,27626.0
4,4v4,2,28219,28219.0
4,4v4,3,27051,27051.0
4,4v4,4,27259,27259.0
4,4v4,5,25259,25259.0
4,4v4,6,25882,25882.0
4,4v4,7,48262,48262.0
4,4v4,8,4016,4016.0
4,4v4,9,24758,24758.0
4,4v4,10,23332,23332.0
5,2v2,1,4805,4805.0
5,2v2,2,4332,4332.0
5,2v2,3,4701,4701.0
5,2v2,4,4785,4785.0
5,2v2,5,4510,4510.0
5,2v2,6,3971,3971.0
5,2v2,7,6397,6397.0
5,2v2,8,636,636.0
5,2v2,9,4679,4679.0
5,2v2,10,4068,4068.0
5,3v3,1,7822,7822.0
5,3v3,2,7353,7353.0
5,3v3,3,7214,7214.0
5,3v3,4,7167,7167.0
5,3v3,5,6669,6669.0
5,3v3,6,6485,6485.0
5,3v3,7,12429,12429.0
5,3v3,8,939,939.0
5,3v3,9,6511,6511.0
5,3v3,10,6075,6075.0
5,4v4,1,22609,22609.0
5,4v4,2,22971,22971.0
5,4v4,3,22727,22727.0
5,4v4,4,22508,22508.0
5,4v4,5,21340,21340.0
5,4v4,6,21631,21631.0
5,4v4,7,44448,44448.0
5,4v4,8,3343,3343.0
5,4v4,9,21701,21701.0
5,4v4,10,19986,19986.0
6,2v2,1,3830,3830.0
6,2v2,2,3275,3275.0
6,2v2,3,3511,3511.0
6,2v2,4,3490,3490.0
6,2v2,5,3483,3483.0
6,2v2,6,3118,3118.0
6,2v2,7,5494,5494.0
6,2v2,8,486,486.0
6,2v2,9,3360,3360.0
6,2v2,10,3321,3321.0
6,3v3,1,5923,5923.0
6,3v3,2,5557,5557.0
6,3v3,3,5339,5339.0
6,3v3,4,5395,5395.0
6,3v3,5,4897,4897.0
6,3v3,6,4793,4793.0
6,3v3,7,10180,10180.0
6,3v3,8,663,663.0
6,3v3,9,4792,4792.0
6,3v3,10,4853,4853.0
6,4v4,1,18507,18507.0
6,4v4,2,18504,18504.0
6,4v4,3,18334,18334.0
6,4v4,4,18561,18561.0
6,4v4,5,17284,17284.0
6,4v4,6,18034,18034.0
6,4v4,7,40260,40260.0
6,4v4,8,3013,3013.0
6,4v4,9,17833,17833.0
6,4v4,10,17310,17310.0
7,2v2,1,3503,3503.0
7,2v2,2,3001,3001.0
7,2v2,3,2997,2997.0
