timestamp,hour,day_of_week,day_name,mode,skill_decile,elo,month,month_name
2026-02-10 21:36:09,21,1,Tuesday,4v4,2,1054.9934528520757,2,February
2026-02-10 21:36:52,21,1,Tuesday,4v4,2,1193.1280119116198,2,February
2026-02-10 21:43:07,21,1,Tuesday,2v2,3,1303.0999522495952,2,February
2026-02-11 08:48:28,8,2,Wednesday,3v3,4,1447.2081128124266,2,February
2026-02-11 10:34:37,10,2,Wednesday,3v3,6,1675.0447601176172,2,February
2026-02-11 18:11:02,18,2,Wednesday,4v4,6,2006.7156489616254,2,February
2026-02-11 19:00:31,19,2,Wednesday,2v2,5,1624.7419918817,2,February
2026-02-11 23:08:32,23,2,Wednesday,4v4,10,2762.2173572880156,2,February
2026-02-12 18:58:54,18,3,Thursday,4v4,7,2050.7620936615936,2,February
2026-02-12 20:55:14,20,3,Thursday,2v2,10,2609.9344945026223,2,February
2026-02-12 21:20:17,21,3,Thursday,2v2,5,1377.7257406143872,2,February
2026-02-12 23:03:19,23,3,Thursday,3v3,8,1944.9912731654397,2,February
2026-02-12 23:41:11,23,3,Thursday,2v2,8,1934.2119190614058,2,February
2026-02-12 23:43:00,23,3,Thursday,2v2,7,1582.1651004749365,2,February
2026-02-13 00:53:47,0,4,Friday,3v3,9,2142.0767983806372,2,February
2026-02-13 08:33:10,8,4,Friday,3v3,1,903.639804031828,2,February
2026-02-13 12:15:55,12,4,Friday,4v4,10,2558.8766840707976,2,February
2026-02-13 17:30:27,17,4,Friday,4v4,4,1408.5974152519682,2,February
2026-02-14 13:28:02,13,5,Saturday,3v3,5,1484.470856966462,2,February
2026-02-14 13:28:45,13,5,Saturday,4v4,9,2312.7119655467345,2,February
2026-02-14 14:41:16,14,5,Saturday,4v4,3,1331.7519323888232,2,February
2026-02-14 16:30:26,16,5,Saturday,3v3,9,2310.8191368048333,2,February
2026-02-14 17:14:15,17,5,Saturday,3v3,9,2302.094669044356,2,February
2026-02-14 18:09:40,18,5,Saturday,2v2,4,1353.5235992135752,2,February
2026-02-14 18:51:15,18,5,Saturday,2v2,3,1160.7685231266096,2,February
2026-02-14 19:28:09,19,5,Saturday,2v2,4,1374.6559214373656,2,February
2026-02-15 12:29:51,12,6,Sunday,4v4,4,1388.6659069127086,2,February
2026-02-15 18:59:11,18,6,Sunday,2v2,10,2245.1306980596896,2,February
2026-02-15 21:30:57,21,6,Sunday,2v2,5,1321.0630930547131,2,February
2026-02-16 17:30:40,17,0,Monday,2v2,6,1663.12098982184,2,February
2026-02-16 20:47:34,20,0,Monday,2v2,2,909.904400795401,2,February
2026-02-16 22:45:13,22,0,Monday,2v2,1,780.8498518792868,2,February
2026-02-16 23:41:06,23,0,Monday,3v3,4,1356.5033471900852,2,February
